Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0785914425797058,0.00395524069522627,0.224073617325561,0,0,0,23.7074590741527,0.60231843719258,-0.00720520542950638,-1.76410656429083E-06,1.05804324615125,0.000212366481389635,1.64064436323262,0,0,0,0,0,0,package://husky_nctu_description/meshes/base_link.STL,1,0.945098039215686,0.905882352941176,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/base_link.STL,,Husky_3D_Model.igs-1;Husky2 Mounting Plate-2;HBLFSDW6_SST-1;HBLFSDW6_SST-2;Husky Parts Mounting Plate-4;Husky Nvidia Jetson Nano Mounting Plate-2;HFS5_2020_140_TPW-1;HFS5_2020_140_TPW-2;HFS5_2020_140_TPW-3;HFS5_2020_140_TPW-4;HFS5_2020_296-1;HFS5_2020_296-2;HFS5_2020_296-3;HFS5_2020_296-4;斷路器_升降壓模組-1;Super Glora-1;前車艙蓋-1;後車艙蓋-1;右車艙蓋-1;左車艙蓋-1;上車艙蓋-1;Apriltag Mount Plate-1;Apriltag Mount Plate-2;_HBLSDB5_b_2-2;_HBLSDB5_b_2-3;_HBLSDB5_b_2-4;_HBLSDB5_b_2-5;HFS6_3060_370_TPW-1;HFS6_3060_370_TPW-2;HFS6_6060_525-1;Husky Sensor Mounting Plate_90degree-3;Husky Sensor Mounting Plate-4;Nvidia Xavier-4;Nvidia Xavier-5;Nvidia Xavier-6;HFSB5_2020_50_Z5_XA10-1;HFSB5_2020_50_Z5_XA10-2;HFSB5_2020_50_Z5_XA10-3;HFSB5_2020_50_Z5_XA10-4;HFSB5_2020_50_Z5_XA10-5;HFSB5_2020_50_Z5_XA10-6;HFSB5_2020_50_Z5_XA10-7;HFSB5_2020_50_Z5_XA10-8;HFSB5_2020_170_Z6_XA10_XB85_XC160-1;HFSB5_2020_170_TPW_Z6_XA85-1;HFSB5_2020_170_TPW_Z6_XA85-2;HFSB5_2020_170_TPW_Z6_XA85-3;HFSB5_2020_170_TPW_Z6_XA85-4;HFSB5_2020_210_Z5_XA10_XB200-1;HFSB5_2020_210_Z5_XA10_XB200-2;HFSB5_2020_210_Z5_XA10_XB200-3;HFSB5_2020_210_Z5_XA10_XB200-4;HFS5_2020_345-1;HFS5_2020_345-2;HFS5_2020_345-3;HFS5_2020_345-4;MIC-770_table mounting20190402174010-1;2D_LiDAR_ver1-1;front_D435&Thermal plate-1;HFSB5_2020_50-1;HFSB5_2020_50-2;HFSB5_2020_50-3,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
camera_mid_link,-0.00944205938184228,-0.0314656221920742,1.76398323465665E-05,0,0,0,0.0239163685197123,1.60719638572165E-05,-2.39110116167029E-08,-1.30053613625532E-08,1.53077570264252E-06,-8.1009751236772E-09,1.5237368140556E-05,0,0,0,0,0,0,package://husky_nctu_description/meshes/camera_mid_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/camera_mid_link.STL,,Intel_RealSense_Depth_Camera_D435.STEP-1,camera_mid_link,Axis_camera_mid_joint,camera_mid_joint,fixed,0.506357261246434,0.0325000000000061,0.292811698622408,0,-0.261799387799144,0,base_link,0,0,0,,,,,,,,,,,,
camera_left_link,-0.00959705111839865,-0.0314656234706914,1.75902354713764E-05,0,0,0,0.0239163680806525,1.60739994479449E-05,-2.39246204412889E-08,-1.30089822981955E-08,1.53084471760323E-06,-8.05978234799342E-09,1.52394517839063E-05,0,0,0,0,0,0,package://husky_nctu_description/meshes/camera_left_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/camera_left_link.STL,,Intel_RealSense_Depth_Camera_D435.STEP-2,camera_left_link,Axis_camera_left_joint,camera_left_joint,fixed,0.405778021406889,0.261948114985736,0.281825,0,0,0.785398163397461,base_link,0,0,0,,,,,,,,,,,,
camera_right_link,-0.00959705111862158,-0.0314656234718209,1.75902340737721E-05,0,0,0,0.0239163680847363,1.60739994485874E-05,-2.39246203461531E-08,-1.30089822163004E-08,1.53084471789659E-06,-8.05978266532592E-09,1.52394517843004E-05,0,0,0,0,0,0,package://husky_nctu_description/meshes/camera_right_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/camera_right_link.STL,,Intel_RealSense_Depth_Camera_D435.STEP-3,camera_right_link,Axis_camera_right_joint,camera_right_joint,fixed,0.451948114985734,-0.215778021406887,0.281824999999999,0,0,-0.785398163397435,base_link,0,0,0,,,,,,,,,,,,
mmwave_right_link,0.000272962265994825,-0.000387127846690705,-0.000998443332812071,0,0,0,0.001698952777629,1.1469148979079E-06,-3.42578053890256E-09,-2.31153095591591E-10,5.85895477212221E-08,3.27832126634983E-10,1.20276316938801E-06,0,0,0,0,0,0,package://husky_nctu_description/meshes/mmwave_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/mmwave_right_link.STL,,mmWave_plate_front-1,mmwave_right_link,Axis_mmwave_right_joint,mmwave_right_joint,fixed,0.46172257361102,-0.185851019517782,0.322324999999999,0,0,-0.785398163397434,base_link,0,0,0,,,,,,,,,,,,
mmwave_left_link,0.000272962265995047,-0.000387127846690566,-0.000998443332812016,0,0,0,0.00169895277762902,1.14691489790792E-06,-3.42578053890333E-09,-2.31153095591543E-10,5.85895477212226E-08,3.27832126635705E-10,1.20276316938804E-06,0,0,0,0,0,0,package://husky_nctu_description/meshes/mmwave_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/mmwave_left_link.STL,,mmWave_plate_front-2,mmwave_left_link,Axis_mmwave_left_joint,mmwave_left_joint,fixed,0.461722573611017,0.185851019517793,0.322325,0,0,0.785398163397459,base_link,0,0,0,,,,,,,,,,,,
mmwave_right_link_back,0.000272962265994825,-0.000387127846690399,-0.00099844333281196,0,0,0,0.00169895277762897,1.14691489790789E-06,-3.42578053890256E-09,-2.31153095591769E-10,5.8589547721221E-08,3.27832126635882E-10,1.202763169388E-06,0,0,0,0,0,0,package://husky_nctu_description/meshes/mmwave_right_link_back.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/mmwave_right_link_back.STL,,mmWave_plate_front-4,mmwave_right_link_back,Axis_mmwave_right_joint_back,mmwave_right_joint_back,fixed,-0.0858675444679625,-0.300000000000001,0.322324999999999,0,0,-1.57079632679488,base_link,0,0,0,,,,,,,,,,,,
mmwave_left_link_back,0.000272962265994992,-0.000387127846690372,-0.00099844333281196,0,0,0,0.00169895277762903,1.14691489790792E-06,-3.42578053890306E-09,-2.31153095591585E-10,5.85895477212233E-08,3.27832126636014E-10,1.20276316938804E-06,0,0,0,0,0,0,package://husky_nctu_description/meshes/mmwave_left_link_back.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/mmwave_left_link_back.STL,,mmWave_plate_front-3,mmwave_left_link_back,Axis_mmwave_left_joint_back,mmwave_left_joint_back,fixed,-0.0858675444679698,0.299999999999999,0.322325,0,0,1.57079632679491,base_link,0,0,0,,,,,,,,,,,,
velodyne1_link,-7.51320216243344E-05,-2.58702285259023E-06,-0.0362692772365076,0,0,0,0.583537708098,0.00062906197555388,1.12600646709242E-10,6.84879643009083E-08,0.00062951411136137,-5.00502875846212E-08,0.000748501972377938,0,0,0,0,0,0,package://husky_nctu_description/meshes/velodyne1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/velodyne1_link.STL,,LiDAR-1,velodyne1,Axis_velodyne1_joint,velodyne1_joint,fixed,0,0,0.756444999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
velodyne2_link,-7.51320216261231E-05,-2.58702285259086E-06,-0.036269277236508,0,0,0,0.583537708098,0.000629061975553881,1.1260064671745E-10,6.84879643062068E-08,0.000629514111361371,-5.00502875846425E-08,0.000748501972377938,0,0,0,0,0,0,package://husky_nctu_description/meshes/velodyne2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/velodyne2_link.STL,,LiDAR-2,velodyne2,Axis_velodyne2_joint,velodyne2_joint,fixed,-0.14712000000006,0,0.589324999999997,3.14159265358979,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
thermal_left_link,-0.0145095853939806,5.55111512312578E-17,-0.000205896581585319,0,0,0,0.00669340810937031,1.16216180432527E-06,5.82335151237331E-22,3.13479076129748E-08,1.05738941594963E-06,-4.73471640887821E-22,1.10037585843868E-06,0,0,0,0,0,0,package://husky_nctu_description/meshes/thermal_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/thermal_left_link.STL,,ThermalSensor_plate-4,thermal_left_link,Axis_thermal_left_joint,thermal_left_joint,fixed,0.471043977310408,0.189681801948472,0.282075,0,0,0.785398163397462,base_link,0,0,0,,,,,,,,,,,,
imu_link,2.77555756156289E-17,0,-0.00499999999999999,0,0,0,0.015,1.25E-06,1.17473305388803E-22,1.58744186878072E-22,3.25E-06,-3.97046694025453E-23,4.25E-06,0,0,0,0,0,0,package://husky_nctu_description/meshes/imu_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://husky_nctu_description/meshes/imu_link.STL,,IMU_garbage-1,imu_link,Axis_imu_joint,imu_joint,fixed,0.176772444670002,-0.182174999999998,0.0734125,-3.14159265358979,0,1.57079632679491,base_link,0,0,0,,,,,,,,,,,,
