Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.53235615554127E-05,-2.30981132300666E-08,0.0849869466449101,0,0,0,29.3158243796921,0.291284682491588,1.48255571798308E-07,6.17649809616402E-05,0.479826021180948,1.88670550380389E-11,0.604707004013824,0,0,0,0,0,0,package://guiding_robot_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/base_link.STL,,Jackal UGV 3D Model.IGS-1/Simplified Model Base.IGS-1;Jackal UGV 3D Model.IGS-1/Simplified Model Fenders.IGS-1;Jackal UGV 3D Model.IGS-1/Simplified Wheel.IGS-4;Jackal UGV 3D Model.IGS-1/Simplified Wheel.IGS-3;Jackal UGV 3D Model.IGS-1/Simplified Wheel.IGS-2;Jackal UGV 3D Model.IGS-1/Simplified Wheel.IGS-1;vA_guiding_tower-1/HFSB5_2020_210_Z5_XA10_XB200-1;vA_guiding_tower-1/HFSB5_2020_210_Z5_XA10_XB200-4;vA_guiding_tower-1/HFSB5_2020_50_Z5_XA10-2;vA_guiding_tower-1/HFSB5_2020_50_Z5_XA10-1;vA_guiding_tower-1/HFSB5_2020_210_Z5_XA10_XB200-2;vA_guiding_tower-1/HFSB5_2020_50_Z5_XA10-3;vA_guiding_tower-1/HFSB5_2020_210_Z5_XA10_XB200-3;vA_guiding_tower-1/HFSB5_2020_50_Z5_XA10-4,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
guiding_base_link,-2.77555756156289E-17,1.2578919916488E-17,-0.002,0,0,0,0.0774232819293758,0.000124479553965162,7.31537854226584E-21,-5.48631849508152E-23,0.000124796231531192,-2.35875721548326E-23,0.000249069323411208,0,0,0,0,0,0,package://guiding_robot_description/meshes/guiding_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/guiding_base_link.STL,,vA_guiding_tower-1/v1b_guiding_tower_base-1,guiding_base_link,Axis_guiding_base_joint,guiding_base_joint,fixed,0.119790139391526,0,0.188,0,0,0,base_link,0,0,0,,,,,,,,,,,,
mmwave_layer_link,-0.0198105976186599,-2.39365952732998E-17,-0.0025,0,0,0,0.289831699286631,0.00358702261685531,6.63823072781326E-20,1.93180194707348E-21,0.00153962974139162,2.41080451229366E-21,0.00512544472616656,0,0,0,0,0,0,package://guiding_robot_description/meshes/mmwave_layer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/mmwave_layer_link.STL,,vA_guiding_tower-1/vAm_mmWave_module-1/v1m_mmWave_plate-1,mmwave_layer_link,Axis_mmwave_layer_joint,mmwave_layer_joint,fixed,0,0,0.04,0,0,0,guiding_base_link,0,0,0,,,,,,,,,,,,
camera_layer_link,0.0222201182530038,1.06376880251203E-16,-0.00199999999999995,0,0,0,0.0800337451106475,0.000140817695689598,-2.1412702419482E-21,-1.79417520674756E-22,0.00014599552982419,8.53888734849771E-21,0.000286599802193493,0,0,0,0,0,0,package://guiding_robot_description/meshes/camera_layer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/camera_layer_link.STL,,vA_guiding_tower-1/v1c_D435_plate-1,camera_layer_link,Axis_camera_layer_joint,camera_layer_joint,fixed,0,0,0.024,0,0,0,mmwave_layer_link,0,0,0,,,,,,,,,,,,
velodyne_layer_link,0,1.94519439980185E-17,-0.0369048607856333,0,0,0,0.102279060449258,0.000129051984474187,-1.71249187018948E-20,-1.4979184649021E-22,9.43324194371609E-05,1.03518030447557E-22,0.00022311165975015,0,0,0,0,0,0,package://guiding_robot_description/meshes/velodyne_layer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/velodyne_layer_link.STL,,vA_guiding_tower-1/v1l_VLP16_mount-1;vA_guiding_tower-1/v1l_VLP16_box_mount-1,velodyne_layer_link,Axis_velodyne_layer_joint,velodyne_layer_joint,fixed,0,0,0.2,0,0,0,camera_layer_link,0,0,0,,,,,,,,,,,,
velodyne_link,-0.000204107711619175,-1.48435748332082E-05,-0.0110477585355708,0,0,0,0.639680330048926,0.000691066055083113,-1.30551476787178E-07,-1.91576696424982E-07,0.000681012953343301,1.31768757352229E-08,0.000851613294109676,0,0,0,0,0,0,package://guiding_robot_description/meshes/velodyne_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/velodyne_link.STL,,vA_guiding_tower-1/velodyne_LiDAR-1;vA_guiding_tower-1/velodyne_LiDAR_controlbox_bottom-1,velodyne_link,Axis_velodyne_joint,velodyne_joint,fixed,0,0,0.0383041612649508,0,0,0,velodyne_layer_link,0,0,0,,,,,,,,,,,,
camera_pan_link,-1.22580877458481E-06,-0.0144175610955237,-0.0199063082381958,0,0,0,0.0460103793451425,9.175642289247E-06,1.37982420132085E-10,-1.20945357295933E-13,4.20719528695045E-06,3.27234447085355E-08,1.0173068860295E-05,0,0,0,0,0,0,package://guiding_robot_description/meshes/camera_pan_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/camera_pan_link.STL,,vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-1/AX-12A-01-1;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-1/AX-12A-03-1;vA_guiding_tower-1/tilting_camera__rotate-1/FP04-F3-2;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-1/AX-12A-04-1;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-1/AX-12A-02-1;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-1/SetScrew-7;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-1/SetScrew-6,camera_pan_link,camera_pan_joint,camera_pan_joint,revolute,0.0835,0,-0.002,0,0,-1.5708,camera_layer_link,0,0,1,1,1,-1.57,1.57,,,,,,,,
camera_tilt_link,-0.00150156151130088,-0.00420559940484633,-0.0201617531906366,0,0,0,0.0620661254386648,1.51390413345506E-05,4.04829742968631E-07,-5.98148912838138E-13,9.85776128703565E-06,3.27234194904702E-08,1.27862204474753E-05,0,0,0,0,0,0,package://guiding_robot_description/meshes/camera_tilt_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/camera_tilt_link.STL,,vA_guiding_tower-1/tilting_camera__rotate-1/FP04-F3-1;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/AX-12A-02-1;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/AX-12A-01-1;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/AX-12A-03-1;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/SetScrew-8;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/SetScrew-5;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/SetScrew-7;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/SetScrew-6;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/AX-12A-04-1;vA_guiding_tower-1/tilting_camera__rotate-1/AX-12A-2/pan head cross recess screw_iso-1;vA_guiding_tower-1/tilting_camera__rotate-1/FP04-F2-1;vA_guiding_tower-1/tilting_camera__rotate-1/D435L_frame-2,camera_tilt_link,camera_tilt_joint,camera_tilt_joint,revolute,-0.021,0,0.0415,1.5708,0,-1.5708,camera_pan_link,0,0,1,1,1,-1.57,1.57,,,,,,,,
camera_link,-0.0126222905709004,-0.0308176836107964,2.48057231405641E-06,0,0,0,0.0381911723642292,2.35737411040552E-05,4.51124225862898E-08,-1.30125590914773E-08,2.11168828999785E-06,-8.02396306163878E-09,2.22571079944342E-05,0,0,0,0,0,0,package://guiding_robot_description/meshes/camera_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/camera_link.STL,,vA_guiding_tower-1/tilting_camera__rotate-1/Intel_D435-1,camera_link,,camera_joint,fixed,-0.0439,0.041,0.0115,1.5708,0,3.1416,camera_tilt_link,0,0,0,,,,,,,,,,,,
velodyne2_layer_link,0.002,-7.46356525807841E-18,0,0,0,0,0.054035325769978,0.000126125108971967,6.69924836096087E-22,2.8024598424477E-22,5.30902098409728E-05,1.96556647865135E-21,7.31789933330477E-05,0,0,0,0,0,0,package://guiding_robot_description/meshes/velodyne2_layer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://guiding_robot_description/meshes/velodyne2_layer_link.STL,,v1l_VLP16_mount-1,velodyne2_layer_link,Axis_velodyne2_layer_joint,velodyne2_layer_joint,fixed,-0.159,0,0.132,0,0,0,camera_layer_link,0,0,0,,,,,,,,,,,,
