Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0124601794809711,-0.00167139635776993,0.131287954500905,0,0,0,39.1540606507033,0.374409733288124,7.01780001313663E-05,5.95993205059563E-05,0.565393603241255,-2.9644991373887E-05,0.727275385788559,0,0,0,0,0,0,package://jackal_nctu_description/meshes/base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/base_link.STL,,Jackal UGV 3D Model.IGS-1/Simplified Wheel.IGS-4;Jackal UGV 3D Model.IGS-1/Simplified Wheel.IGS-1;Jackal UGV 3D Model.IGS-1/Simplified Model Fenders.IGS-1;Jackal UGV 3D Model.IGS-1/Simplified Model Base.IGS-1;Jackal UGV 3D Model.IGS-1/Simplified Wheel.IGS-2;Jackal UGV 3D Model.IGS-1/Simplified Wheel.IGS-3;UnifiModule-1/UniFi_Mesh-1/UniFi_Mesh_body-1;UnifiModule-1/UniFi_Mesh-1/UniFi_Mesh_antenna-2;sensorModule_frame-4/HFSB5_2020_50_Z5_XA10-2;sensorModule_frame-4/HFSB5_2020_130_TPW_Z6_XA65-1;sensorModule_frame-4/HFSB5_2020_50_Z5_XA10-1;sensorModule_frame-4/HFSB5_2020_170_Z5_XA10_XB160-1;sensorModule_frame-3/HFSB5_2020_50_Z5_XA10-1;baseplate-1;sensorModule_frame-3/HFSB5_2020_130_TPW_Z6_XA65-1;sensorModule_frame-3/HFSB5_2020_50_Z5_XA10-2;sensorModule_frame-3/HFSB5_2020_170_Z5_XA10_XB160-1;UnifiModule-1/HFSB5_2020_150_TPW-1;UnifiModule-1/UniFi_Mesh-1/UniFi_Mesh_antenna-1;UnifiModule-1/UniFi_Mesh-1/UniFi_Mesh_antenna_connector-2;UnifiModule-1/UniFi_Mesh-1/UniFi_Mesh_antenna_connector-1;LeadAcidBattery-1;controlbox-1/controlbox_frame-1/HFSB5_2020_340-3;VelodyneLiDARModule-1/HFSB5_2020_100_TPW-4;VelodyneLiDARModule-1/HFSB5_2020_100_TPW-1;VelodyneLiDARModule-1/HFSB5_2020_100_TPW-2;VelodyneLiDARModule-1/Velodyne_LiDAR Mounting Plate-1;controlbox-1/controlbox_frame-1/controlbox_top-2;controlbox-1/HHMSQ50-1/HHMSQ50_7-1;controlbox-1/SHHPSK5_2-1/SHHPSK5_2_3-1;controlbox-1/controlbox_frame-1/controlbox_midplate-1;controlbox-1/SHHPSK5_2-1/SHHPSK5_2_5-1;controlbox-1/BreakAndVoltageConverter-1;controlbox-1/HHMSQ50-1/HHMSQ50_5-1;controlbox-1/HHMSQ50-1/HHMSQ50_3-1;controlbox-1/Switch-1;controlbox-1/ethernet2PoE-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/GALEN_FAN_SINK_COVER_ASSEMBLY_ASM.stp-1/GALEN_METAL_BASE_COVER.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/080-1496-000_3.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/GALEN_FOOT_ASSEMBLY_FRONT_ASM.stp-1/GALEN_FOOT_FRONT_BACKSIDE_CORE.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/131-0282-000_2.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/064-0203-000_6.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/080-1499-000_1.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/QFN040Q_P050_0065_T047X047.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/280-0143-000_2.stp-3;controlbox-1/controlbox_frame-1/controlbox_right-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/GALEN_FAN_SINK_COVER_ASSEMBLY_ASM.stp-1/GALEN_HEATSINK.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/GALEN_FAN_SINK_COVER_ASSEMBLY_ASM.stp-1/GALEN_FAN_ASSEMBLY_ASM.stp-1/7013_3_MOUNTING_HOLES_ASSY_0206_ASM.stp-1/7013_3_MOUNTING_HOLES_ASSY_ASM__ASM.stp-1/7013_IMPELLER_2.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/GALEN_FAN_SINK_COVER_ASSEMBLY_ASM.stp-1/GALEN_FAN_ASSEMBLY_ASM.stp-1/7013_3_MOUNTING_HOLES_ASSY_0206_ASM.stp-1/7013_3_MOUNTING_HOLES_ASSY_ASM__ASM.stp-1/7013_PILLOW_9.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/080-1659-000_1.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/280-0143-000_2.stp-2;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/080-1630-000_2.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/280-0143-000_2.stp-1;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/0805_H140.stp-19;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/142-82822-1000-B02.stp-1;controlbox-1/controlbox_frame-1/HFSB5_2020_110-1;controlbox-1/controlbox_frame-1/HFSB5_2020_340-1;controlbox-1/controlbox_frame-1/controlbox_left-1;controlbox-1/controlbox_frame-1/HFSB5_2020_320-4;controlbox-1/controlbox_frame-1/HFSB5_2020_320-2;controlbox-1/controlbox_frame-1/HFSB5_2020_150_TPW-4;controlbox-1/controlbox_frame-1/HFSB5_2020_150_TPW-3;controlbox-1/controlbox_frame-1/controlbox_back-1;sensorModule_frame-2/HFSB5_2020_170_Z5_XA10_XB160-1;sensorModule_frame-2/HFSB5_2020_50_Z5_XA10-1;sensorModule_frame-2/HFSB5_2020_130_TPW_Z6_XA65-1;sensorModule_frame-2/HFSB5_2020_50_Z5_XA10-2;controlbox-1/controlbox_frame-1/HFSB5_2020_150_TPW-2;controlbox-1/controlbox_frame-1/HFSB5_2020_340-4;controlbox-1/controlbox_frame-1/HFSB5_2020_110-2;controlbox-1/controlbox_frame-1/HFSB5_2020_340-2;controlbox-1/controlbox_frame-1/HFSB5_2020_320-1;tilting_camera_module-1/AX-12A-1/AX-12A-01-1;tilting_camera_module-1/AX-12A-1/AX-12A-04-1;tilting_camera_module-1/FP04-F3-2;tilting_camera_module-1/AX-12A-1/SetScrew-7;tilting_camera_module-1/AX-12A-1/SetScrew-6;tilting_camera_module-1/AX-12A-1/AX-12A-02-1;tilting_camera_module-1/AX-12A-1/AX-12A-03-1;sensorModule_frame-1/HFSB5_2020_170_Z5_XA10_XB160-1;sensorModule_frame-1/HFSB5_2020_50_Z5_XA10-2;sensorModule_frame-1/HFSB5_2020_130_TPW_Z6_XA65-1;sensorModule_frame-1/HFSB5_2020_50_Z5_XA10-1;controlbox-1/controlbox_frame-1/HFSB5_2020_150_TPW-1;controlbox-1/controlbox_frame-1/HFSB5_2020_320-3;controlbox-1/controlbox_frame-1/HFSB5_2020_320-6;controlbox-1/controlbox_frame-1/HFSB5_2020_320-5;VelodyneLiDARModule-1/HFSB5_2020_100_TPW-3;controlbox-1/NVIDIA_Xavier-1/P2972-devkit.stp-1/142-82822-1000-B02_ASM.stp-1/064-0276-000_1.stp-1;controlbox-1/terminal_block-1;controlbox-1/SHHPSK5_2-1/SHHPSK5_2_7-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
uwb_left_front_link,-0.00847444006555131,-0.0022014365010906,-0.00407385504991126,0,0,0,0.0157111424636558,1.73928430428468E-05,2.86887862009599E-08,2.58805301227201E-08,9.61452061739199E-06,-5.59073633558126E-07,8.9381324357199E-06,0,0,0,0,0,0,package://jackal_nctu_description/meshes/uwb_left_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/uwb_left_front_link.STL,,mmWave&UWB_mount_FL&BR-2,uwb_left_front_link,,uwb_left_front_joint,fixed,0.2458,0.1743,0.28816,0,0,0.7854,base_link,0,0,0,,,,,,,,,,,,
mmwave_left_front_link,-0.00033958420972624,0.0562537719993841,0.0220817242425496,0,0,0,0.0157111424636558,1.73928430428468E-05,2.86887862009607E-08,2.58805301227191E-08,9.614520617392E-06,-5.59073633558126E-07,8.9381324357199E-06,0,0,0,0,0,0,package://jackal_nctu_description/meshes/mmwave_left_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/mmwave_left_front_link.STL,,mmWave&UWB_mount_FL&BR-2,mmwave_left_front_link,Axis_mmwave_left_front_joint,mmwave_left_front_joint,fixed,0.281381975951818,0.127210534294844,0.262,0,0,0.785398163397448,base_link,0,0,0,,,,,,,,,,,,
uwb_right_front_link,-0.00847444006555115,0.00220143650083729,-0.0054904437047687,0,0,0,0.0157111424635834,1.73677851102585E-05,-2.86887862010467E-08,-9.98473857269123E-09,9.58946268502228E-06,7.0957639714209E-07,8.93813243550083E-06,0,0,0,0,0,0,package://jackal_nctu_description/meshes/uwb_right_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/uwb_right_front_link.STL,,mmWave&UWB_mount_FR&BL-3,uwb_right_front_link,Axis_uwb_right_front_joint,uwb_right_front_joint,fixed,0.245800113365088,-0.174296820360832,0.289457844315392,0,0,-0.785398163397449,base_link,0,0,0,,,,,,,,,,,,
mmwave_right_front_link,-0.000339584209752608,-0.0562537719997321,0.0219674006106228,0,0,0,0.0157111424635834,1.73677851102585E-05,-2.86887862010463E-08,-9.98473857269107E-09,9.58946268502228E-06,7.09576397142092E-07,8.93813243550082E-06,0,0,0,0,0,0,package://jackal_nctu_description/meshes/mmwave_right_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/mmwave_right_front_link.STL,,mmWave&UWB_mount_FR&BL-3,mmwave_right_front_link,Axis_mmwave_right_front_joint,mmwave_right_front_joint,fixed,0.281381975951904,-0.127210534294795,0.262,0,0,-0.785398163397449,base_link,0,0,0,,,,,,,,,,,,
uwb_right_back_link,-0.00847444006555131,-0.00220143650109053,-0.00407385504991126,0,0,0,0.0157111424636557,1.73928430428467E-05,2.86887862009543E-08,2.58805301227144E-08,9.61452061739196E-06,-5.59073633558129E-07,8.93813243571975E-06,0,0,0,0,0,0,package://jackal_nctu_description/meshes/uwb_right_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/uwb_right_back_link.STL,,mmWave&UWB_mount_FL&BR-1,uwb_right_back_link,Axis_uwb_right_back_joint,uwb_right_back_joint,fixed,-0.245800113365088,-0.174296820360832,0.288155579292461,0,0,-2.35619449019235,base_link,0,0,0,,,,,,,,,,,,
mmwave_right_back_link,-0.00033958420972624,0.0562537719993841,0.0220817242425496,0,0,0,0.0157111424636557,1.73928430428467E-05,2.86887862009518E-08,2.5880530122715E-08,9.61452061739196E-06,-5.59073633558132E-07,8.93813243571975E-06,0,0,0,0,0,0,package://jackal_nctu_description/meshes/mmwave_right_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/mmwave_right_back_link.STL,,mmWave&UWB_mount_FL&BR-1,mmwave_right_back_link,Axis_mmwave_right_back_joint,mmwave_right_back_joint,fixed,-0.281381975951818,-0.127210534294844,0.262,0,0,-2.35619449019235,base_link,0,0,0,,,,,,,,,,,,
uwb_left_back_link,-0.0084744400655512,0.00220143650083711,-0.00549044370476859,0,0,0,0.0157111424635834,1.73677851102583E-05,-2.86887862010424E-08,-9.98473857269054E-09,9.58946268502224E-06,7.09576397142026E-07,8.93813243550064E-06,0,0,0,0,0,0,package://jackal_nctu_description/meshes/uwb_left_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/uwb_left_back_link.STL,,mmWave&UWB_mount_FR&BL-2,uwb_left_back_link,Axis_uwb_left_back_joint,uwb_left_back_joint,fixed,-0.245800113365088,0.174296820360832,0.289457844315392,0,0,2.35619449019234,base_link,0,0,0,,,,,,,,,,,,
mmwave_left_back_link,-0.000339584209752664,-0.0562537719997322,0.021967400610623,0,0,0,0.0157111424635834,1.73677851102583E-05,-2.86887862010454E-08,-9.98473857268948E-09,9.58946268502223E-06,7.09576397142025E-07,8.93813243550063E-06,0,0,0,0,0,0,package://jackal_nctu_description/meshes/mmwave_left_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/mmwave_left_back_link.STL,,mmWave&UWB_mount_FR&BL-2,mmwave_left_back_link,Axis_mmwave_left_back_joint,mmwave_left_back_joint,fixed,-0.281381975951904,0.127210534294795,0.262,0,0,2.35619449019234,base_link,0,0,0,,,,,,,,,,,,
gps_link,-5.90199753081251E-07,4.13886367539584E-08,-0.0151433666632058,0,0,0,0.0932591183441545,3.08947796687594E-05,-8.28258304937971E-29,-4.47954505127613E-22,3.08947796687645E-05,7.39706855638062E-13,4.9448512900716E-05,0,0,0,0,0,0,package://jackal_nctu_description/meshes/gps_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jackal_nctu_description/meshes/gps_link.STL,,controlbox-1/GPS-1,gps_link,Axis_gps_joint,gps_joint,fixed,0,0.0999999660483242,0.370200315564509,0,0,0,base_link,0,0,0,,,,,,,,,,,,
